City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Balabac,PH,2022-09-27 20:48:43,7.9868,117.0645,80.74,78,100,9.19
157,Pangnirtung,CA,2022-09-27 20:48:44,66.1451,-65.7125,39.2,56,20,14.97
158,Siguiri,GN,2022-09-27 20:48:45,11.6667,-9.5,73.92,91,21,4.56
159,Hohhot,CN,2022-09-27 20:48:45,40.8106,111.6522,48.49,76,0,6.71
160,Georgetown,MY,2022-09-27 20:48:14,5.4112,100.3354,79.9,79,20,7.0
161,Sola,VU,2022-09-27 20:48:45,-13.8833,167.55,80.47,74,3,13.18
162,Victoria,HK,2022-09-27 20:45:11,22.2855,114.1577,84.38,78,99,13.0
163,Cozumel,MX,2022-09-27 20:48:47,20.5083,-86.9458,89.67,82,75,10.0
164,Berlevag,NO,2022-09-27 20:48:47,70.8578,29.0864,48.15,81,100,0.0
165,Vao,NC,2022-09-27 20:48:48,-22.6667,167.4833,74.26,78,5,13.42
166,Tiksi,RU,2022-09-27 20:48:49,71.6872,128.8694,32.14,91,100,21.27
167,Kidal,ML,2022-09-27 20:48:49,18.4411,1.4078,95.67,13,22,5.84
168,Nuuk,GL,2022-09-27 20:48:49,64.1835,-51.7216,43.41,93,100,21.85
169,Keta,GH,2022-09-27 20:48:50,5.9179,0.9879,79.02,87,99,11.39
170,Victoria Point,AU,2022-09-27 20:48:50,-27.5833,153.3,65.91,94,100,1.01
171,Buchanan,LR,2022-09-27 20:48:50,5.8808,-10.0467,77.05,89,59,7.92
172,Airai,TL,2022-09-27 20:48:51,-8.9266,125.4092,60.67,91,99,0.92
173,Shumskiy,RU,2022-09-27 20:48:51,54.8318,99.1328,38.03,96,100,4.43
174,Comodoro Rivadavia,AR,2022-09-27 20:44:36,-45.8667,-67.5,67.86,22,0,20.71
175,Nanortalik,GL,2022-09-27 20:48:51,60.1432,-45.2371,43.66,99,96,8.32
176,Kavieng,PG,2022-09-27 20:48:52,-2.5744,150.7967,82.54,69,70,14.12
177,Sabang,ID,2022-09-27 20:48:52,5.8933,95.3214,80.62,76,100,24.14
178,Aktash,RU,2022-09-27 20:48:52,50.3,87.7333,29.32,84,91,2.75
179,Cabedelo,BR,2022-09-27 20:48:53,-6.9811,-34.8339,79.47,68,4,15.66
180,Makakilo City,US,2022-09-27 20:48:53,21.3469,-158.0858,82.98,57,100,13.8
181,Rezzato,IT,2022-09-27 20:48:53,45.5142,10.3167,60.75,81,0,5.75
182,Smithers,CA,2022-09-27 20:44:25,54.7804,-127.1743,62.92,72,20,3.44
183,Paamiut,GL,2022-09-27 20:48:54,61.994,-49.6678,42.44,95,100,15.61
184,Port Alfred,ZA,2022-09-27 20:49:54,-33.5906,26.891,64.18,99,100,8.01
185,Coihaique,CL,2022-09-27 20:49:54,-45.5752,-72.0662,57.15,44,0,5.75
186,East London,ZA,2022-09-27 20:49:54,-33.0153,27.9116,67.64,92,100,23.6
187,Padang,ID,2022-09-27 20:49:55,-0.9492,100.3543,75.45,88,67,3.69
188,Arraial Do Cabo,BR,2022-09-27 20:49:55,-22.9661,-42.0278,76.96,88,0,9.22
189,Beira,MZ,2022-09-27 20:49:56,-19.8436,34.8389,77.09,88,20,11.1
190,Bow Island,CA,2022-09-27 20:49:56,49.8668,-111.3684,85.26,17,3,4.61
191,Aquiraz,BR,2022-09-27 20:49:56,-3.9014,-38.3911,82.49,77,0,12.93
192,Miri,MY,2022-09-27 20:49:32,4.4148,114.0089,75.34,94,20,0.0
193,Abu Samrah,SY,2022-09-27 20:49:57,35.3029,37.1841,68.41,47,0,7.25
194,Da Lat,VN,2022-09-27 20:49:57,11.9465,108.4419,60.48,95,100,9.06
195,Husavik,IS,2022-09-27 20:49:57,66.0449,-17.3389,37.42,72,71,2.59
196,Yulara,AU,2022-09-27 20:49:58,-25.2406,130.9889,55.11,79,0,9.08
197,Garden City,US,2022-09-27 20:48:39,42.3256,-83.331,62.62,59,40,13.8
198,Havre-Saint-Pierre,CA,2022-09-27 20:45:48,50.2334,-63.5986,59.36,82,20,3.44
199,Marzuq,YE,2022-09-27 20:49:58,14.4,46.4667,77.23,38,5,1.79
200,Ellisras,ZA,2022-09-27 20:49:59,-23.6649,27.7443,76.19,36,0,14.25
201,Makurdi,NG,2022-09-27 20:49:59,7.7411,8.5121,75.36,90,100,5.28
202,Lata,PT,2022-09-27 20:49:59,40.1629,-8.3327,62.82,96,7,3.51
203,Shenjiamen,CN,2022-09-27 20:50:00,29.9576,122.298,72.63,70,76,6.33
204,Cockburn Town,TC,2022-09-27 20:50:00,21.4612,-71.1419,82.8,80,39,17.52
205,Da Nang,VN,2022-09-27 20:49:10,16.0678,108.2208,75.18,100,100,34.52
206,Roquetas De Mar,ES,2022-09-27 20:50:01,36.7642,-2.6148,69.8,59,0,7.74
207,Shu,KZ,2022-09-27 20:50:01,43.5983,73.7614,58.51,35,99,3.76
208,Cookeville,US,2022-09-27 20:50:01,36.1628,-85.5016,71.31,35,0,6.91
209,Marawi,PH,2022-09-27 20:50:02,7.9986,124.2928,69.49,90,100,3.49
210,Kapaa,US,2022-09-27 20:45:43,22.0752,-159.319,83.12,68,40,11.5
211,Portel,BR,2022-09-27 20:50:02,-1.9356,-50.8211,88.12,47,74,4.52
212,Salalah,OM,2022-09-27 20:50:02,17.0151,54.0924,77.95,83,7,1.81
213,Vilcun,CL,2022-09-27 20:50:03,-38.65,-72.2333,61.54,58,0,4.9
214,Madang,PG,2022-09-27 20:50:03,-5.2246,145.7966,75.36,92,98,3.09
215,Pisco,PE,2022-09-27 20:47:01,-13.7,-76.2167,66.25,63,0,17.27
216,Plettenberg Bay,ZA,2022-09-27 20:50:04,-34.0527,23.3716,61.72,88,74,1.5
217,Saldanha,ZA,2022-09-27 20:50:04,-33.0117,17.9442,48.25,88,0,8.03
218,Homer,US,2022-09-27 20:50:04,59.6425,-151.5483,50.77,71,0,6.91
219,Puerto Ayacucho,VE,2022-09-27 20:50:05,5.6639,-67.6236,79.12,87,97,4.85
220,Grindavik,IS,2022-09-27 20:50:05,63.8424,-22.4338,46.35,70,75,6.91
221,Ginda,IN,2022-09-27 20:50:05,30.6945,78.4932,57.43,86,3,5.55
222,Ribeira Grande,PT,2022-09-27 20:50:05,38.5167,-28.7,68.4,77,40,13.8
223,Pierre,US,2022-09-27 20:50:06,44.3683,-100.351,76.86,29,0,6.91
224,Lavrentiya,RU,2022-09-27 20:50:06,65.5833,-171.0,38.26,83,97,8.99
225,Broome,US,2022-09-27 20:50:06,42.2506,-75.833,61.32,81,75,10.36
226,Chimbote,PE,2022-09-27 20:50:07,-9.0853,-78.5783,64.92,74,81,11.65
227,Jinchang,CN,2022-09-27 20:50:07,38.4953,102.1739,61.25,32,14,7.4
228,Hoa Binh,VN,2022-09-27 20:49:02,20.8133,105.3383,76.33,89,100,3.87
229,Sobolevo,RU,2022-09-27 20:50:07,54.4299,31.8996,43.99,90,75,8.57
230,Palmer,US,2022-09-27 20:50:08,42.1584,-72.3287,69.62,55,40,11.5
231,Jacksonville Beach,US,2022-09-27 20:49:52,30.2947,-81.3931,83.07,49,100,11.5
232,Mountain Home,US,2022-09-27 20:49:02,43.133,-115.6912,85.48,15,20,14.97
