,City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
393,Bukama,CD,84.92,25,broken clouds,-9.2,25.85,
394,Tabou,CI,77.29,85,broken clouds,4.423,-7.3528,hotêl doufoulougou
397,Hue,VN,80.71,83,broken clouds,16.4667,107.6,Saigon Morin Hotel
401,Labuhan,ID,79.88,79,overcast clouds,-6.8844,112.2051,DoubleFAG
402,Luanda,AO,75.2,83,few clouds,-8.8368,13.2343,EPIC SANA Luanda
403,Pyapon,MM,77.47,89,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
408,Avanigadda,IN,77.77,82,overcast clouds,16.0215,80.9181,AP Camping
414,Lucea,JM,85.86,73,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
419,Matara,LK,78.28,86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
422,Tual,ID,83.14,72,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
427,Kudahuvadhoo,MV,81.61,75,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
430,Denpasar,ID,78.46,88,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
432,Santa Cruz Del Sur,CU,84.18,68,light rain,20.7147,-77.9956,
443,Daru,PG,78.6,88,overcast clouds,-9.0763,143.2092,Daru Lodge
453,Honolulu,US,78.28,89,very heavy rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
454,Wanning,CN,78.94,85,few clouds,18.8003,110.3967,Paradise Hotel
456,Povoa De Varzim,PT,76.15,49,clear sky,41.3834,-8.7636,Grande Hotel da Póvoa
458,Reconquista,AR,80.76,29,clear sky,-29.15,-59.65,Grand Hotel
459,Along,IN,75.63,77,overcast clouds,28.1667,94.7667,Hotel West
464,Iracoubo,GF,85.75,66,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
466,Marzuq,YE,76.28,53,clear sky,14.4,46.4667,حيد القفلة
467,Lahij,YE,87.94,42,overcast clouds,13.1667,44.5833,
472,Oranjestad,AW,89.55,66,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
